level,kanji,furigana,definition,kana
"1","出す","だ","to take out / to submit","だす"
"1","大人","おとな","adult","おとな"
"1","見える","み","to be visible","みえる"
"1","出る","で","to go out / to exit","でる"
"1","小学校","しょうがっこう","elementary school","しょうがっこう"
"1","天気","てんき","weather","てんき"
"1","白い","しろ","white","しろい"
"1","川","かわ","river","かわ"
"1","男の子","おとここ","boy","おとこのこ"
"1","口","くち","mouth","くち"
"1","見つかる","み","to be found","みつかる"
"1","学校","がっこう","school","がっこう"
"1","大学","だいがく","university","だいがく"
"1","音","おと","sound","おと"
"1","見せる","み","to show","みせる"
"1","左","ひだり","left","ひだり"
"1","大きい","おお","big","おおきい"
"1","木","き","tree","き"
"1","山","やま","mountain","やま"
"1","気","き","spirit / mood","き"
"1","女の子","おんなこ","girl","おんなのこ"
"1","本","ほん","book","ほん"
"1","右","みぎ","right","みぎ"
"1","小さい","ちい","small","ちいさい"
"1","見る","み","to see","みる"
"1","雨","あめ","rain","あめ"
"1","休み","やす","rest / holiday","やすみ"
"1","お金","かね","money","おかね"
"1","入れる","い","to put in","いれる"
"1","犬","いぬ","dog","いぬ"
"1","中学生","ちゅうがくせい","junior high student","ちゅうがくせい"
"1","生まれる","う","to be born","うまれる"
"1","左右","さゆう","left and right","さゆう"
"1","入学","にゅうがく","school entrance","にゅうがく"
"1","男","おとこ","man","おとこ"
"1","虫","むし","insect","むし"
"1","土","つち","soil / earth","つち"
"1","学生","がくせい","student","がくせい"
"1","中学","ちゅうがく","junior high school","ちゅうがく"
"1","女","おんな","woman","おんな"
"1","空気","くうき","air / atmosphere","くうき"
"1","早い","はや","early / fast","はやい"
"1","見つける","み","to find","みつける"
"1","町","まち","town","まち"
"1","手","て","hand","て"
"1","人生","じんせい","life","じんせい"
"1","花","はな","flower","はな"
"1","上下","じょうげ","up and down","じょうげ"
"1","休む","やす","to rest","やすむ"
"1","男子","だんし","boy / male","だんし"
"1","赤ちゃん","あか","baby","あかちゃん"
"1","文学","ぶんがく","literature","ぶんがく"
"1","中","なか","inside / middle","なか"
"1","上手","じょうず","skillful","じょうず"
"1","先生","せんせい","teacher","せんせい"
"1","人口","じんこう","population","じんこう"
"1","年","とし","year / age","とし"
"1","大学生","だいがくせい","university student","だいがくせい"
"1","車","くるま","car","くるま"
"1","赤い","あか","red","あかい"
"1","青","あお","blue","あお"
"1","立つ","た","to stand","たつ"
"1","文字","もじ","character / letter","もじ"
"1","足","あし","leg / foot","あし"
"1","日本","にほん","Japan","にほん"
"1","下さる","くだ","to give (polite)","くださる"
"1","上がる","あ","to go up","あがる"
"1.1","花だん","かだん","flower bed","かだん"
"1.1","花たば","はなたば","bouquet","はなたば"
"1.1","花びら","はなびら","flower petal","はなびら"
"1.1","木かげ","こかげ","shade of a tree","こかげ"
"1.1","にわ木","にわき","garden tree","にわき"
"1.1","木目","もくめ","wood grain","もくめ"
"1.1","ざっ草","ざっそう","weeds","ざっそう"
"1.1","草もち","くさもち","rice cake with mugwort","くさもち"
"1.1","草はら","くさはら","grassy field","くさはら"
